SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price,price_per_sqft,property_age,listing_category
2297,2,2,Urban,2017,194967.9094711132,84.87936851158607,8,Mid-Range
1387,3,1,Rural,2002,152828.720291152,110.18653229354868,23,Budget
1600,4,2,Rural,2002,256725.9809436184,160.4537380897615,23,Mid-Range
1315,5,2,Suburb,1989,98039.30310069738,74.55460311840105,36,Budget
1013,4,3,Urban,2002,164858.18694892063,162.74253400683182,23,Budget
1241,3,2,Urban,1985,199373.18209909197,160.65526357702817,40,Mid-Range
1776,4,2,Urban,2014,181245.4467436535,102.05261640971482,11,Budget
2369,5,1,Suburb,1963,209700.7184829428,88.51866546346255,62,Mid-Range
1564,2,2,Rural,1983,163053.3920501942,104.25408698861521,42,Budget
1897,4,2,Rural,1975,304004.68986597785,160.25550335581332,50,High-End
2363,5,3,Urban,2004,308830.9396512381,130.6944306607017,21,High-End
1091,3,3,Urban,2012,194294.00184175,178.0879943554079,13,Mid-Range
2390,5,3,Urban,2019,172777.3198326151,72.29176562034104,6,Budget
1955,4,1,Suburb,1995,197656.07026552537,101.10284924067794,30,Mid-Range
2478,5,3,Urban,1986,273365.49912049377,110.31698915274163,39,High-End
2451,5,2,Rural,1972,216047.21814963987,88.14655983257441,53,Mid-Range
1508,4,1,Urban,1965,149586.15312931265,99.19506175683863,60,Budget
1775,4,2,Suburb,1981,214171.08224172727,120.65976464322664,44,Mid-Range
2966,3,2,Rural,1956,277419.0001600792,93.53304118681025,69,High-End
1034,5,3,Rural,1993,117295.37520060757,113.43846731199957,32,Budget
1205,2,1,Urban,1996,180760.867453112,150.00901863328798,29,Budget
2104,4,1,Suburb,1954,202715.1601476104,96.34750957586046,71,Mid-Range
2955,5,3,Rural,2012,378403.5710107572,128.05535397995166,13,High-End
2585,2,1,Suburb,1961,257776.0924243205,99.7199583846501,64,Mid-Range
2895,2,2,Suburb,2021,266046.87792908505,91.89874885287912,4,High-End
2411,5,1,Rural,1958,337645.67623531295,140.0438308732115,67,High-End
2025,5,2,Rural,1993,240145.9702539115,118.5906025945242,32,Mid-Range
2021,5,1,Suburb,1971,92641.62211021264,45.839496343499576,54,Budget
2413,2,1,Urban,1995,152037.88283583574,63.00782546035464,30,Budget
1565,5,3,Rural,1957,149848.61640852437,95.74991463803474,68,Budget
2129,4,3,Urban,2005,220384.43445019663,103.51546944584153,20,Mid-Range
2795,2,1,Rural,1977,305658.56385268376,109.35905683459168,48,High-End
2845,4,2,Urban,1996,318297.25657762005,111.87952779529704,29,High-End
2500,4,3,Rural,1984,230749.27633657065,92.29971053462826,41,Mid-Range
1702,5,3,Urban,1970,201925.84088885225,118.64032954691672,55,Mid-Range
1401,4,3,Suburb,1982,149576.68114338422,106.76422636929638,43,Budget
1729,5,1,Rural,2019,171877.06629783398,99.40836685820358,6,Budget
2579,2,2,Urban,1997,245276.73391788083,95.10536406276884,28,Mid-Range
1161,4,2,Suburb,2003,288571.1271841178,248.55394244971387,22,High-End
1201,5,1,Urban,1951,87804.5603712397,73.10954235740192,74,Budget
2981,3,2,Rural,1982,267127.0106286388,89.60986602772184,43,High-End
1995,5,3,Suburb,1965,221217.76933158597,110.88609991558194,60,Mid-Range
1269,3,2,Suburb,1999,218784.63298580731,172.40711819212555,26,Mid-Range
2886,5,3,Rural,1969,315607.02376495936,109.35794309250151,56,High-End
1815,3,3,Urban,2016,217967.92847377845,120.09252257508454,9,Mid-Range
2294,4,1,Rural,1994,353343.63401135267,154.029483004077,31,High-End
1455,3,3,Urban,1984,187002.96390785457,128.5243738198313,41,Budget
2485,4,2,Rural,1978,222855.0832963985,89.68011400257484,47,Mid-Range
2750,4,2,Rural,1994,366548.8223262025,133.29048084589184,31,High-End
2275,5,2,Rural,1964,259473.2793370484,114.05418871958172,61,High-End
2016,4,2,Urban,1952,212440.4223945249,105.37719364807784,73,Mid-Range
2725,2,2,Urban,2018,237066.6856356926,86.9969488571349,7,Mid-Range
1295,3,3,Urban,1983,158357.6480582802,122.2838981145021,42,Budget
2748,5,1,Suburb,2020,255619.99775314287,93.02037763942609,5,Mid-Range
1719,4,1,Suburb,1953,190659.43496867083,110.91299300097198,72,Mid-Range
2772,3,2,Urban,1968,284985.43569363654,102.80859873507812,57,High-End
1337,3,3,Urban,1970,214741.228522745,160.614232253362,55,Mid-Range
1878,2,1,Suburb,1964,128693.02879404814,68.52663940045161,61,Budget
2076,3,2,Rural,1966,184051.98271688656,88.6570244300995,59,Budget
1791,5,3,Rural,2003,242865.26019000952,135.6031603517641,22,Mid-Range
2945,5,1,Urban,1986,295356.77549321775,100.29092546459007,39,High-End
1216,4,3,Rural,2003,107868.93208831896,88.7080033621044,22,Budget
1763,4,2,Urban,1971,207380.13609180792,117.62911860000449,54,Mid-Range
1187,5,3,Suburb,1957,132828.81413178446,111.90296051540392,68,Budget
1379,3,1,Urban,1960,84493.6913127725,61.27171233703589,65,Budget
1492,3,1,Suburb,2019,53360.86540604882,35.764655097887946,6,Budget
2064,2,3,Rural,1958,296199.3496255564,143.5074368340874,67,High-End
2180,4,1,Urban,1951,273924.557395998,125.65346669541192,74,High-End
1014,3,3,Urban,1981,204340.7258965054,201.51945354684952,44,Mid-Range
2836,3,3,Urban,2000,228582.09695971967,80.6001752326233,25,Mid-Range
1064,4,2,Suburb,1986,237384.3466275038,223.10558893562387,39,Mid-Range
2880,5,2,Rural,1955,312245.8679787154,108.41870415927617,70,High-End
2862,3,3,Urban,1961,219408.6249604324,76.66269215948023,64,Mid-Range
1520,2,1,Rural,2003,201334.94160447217,132.45719842399484,22,Mid-Range
2367,3,2,Suburb,1995,221413.5776081872,93.54185788263084,30,Mid-Range
2152,3,1,Rural,1982,306839.62194227794,142.58346744529644,43,High-End
1647,2,3,Urban,1967,126756.3572316613,76.96196553227766,58,Budget
2495,5,1,Urban,1987,328702.8347369156,131.74462314104832,38,High-End
2086,2,1,Suburb,2008,141074.02839361285,67.6289685491912,17,Budget
2162,2,3,Rural,1956,220712.46134879728,102.08716991156211,69,Mid-Range
2522,4,2,Urban,1964,319176.8398973249,126.55703405920893,61,High-End
1592,3,2,Suburb,1950,245299.2098929523,154.08241827446753,75,Mid-Range
1391,5,1,Rural,1995,51154.13113008726,36.77507629769034,30,Budget
2698,3,3,Urban,1981,314018.0283390546,116.38918767199948,44,High-End
1418,5,3,Suburb,1998,222904.25800629333,157.19623272658202,27,Mid-Range
1288,2,2,Suburb,1959,115697.77821526628,89.82746755843655,66,Budget
1378,4,3,Suburb,1966,140714.77037514705,102.11521797906173,59,Budget
2796,2,3,Suburb,1969,178353.14814536367,63.78867959419301,56,Budget
2513,3,1,Suburb,2000,280022.0311214733,111.42937967428304,25,High-End
1230,4,1,Rural,1971,136418.4807787985,110.90933396650284,54,Budget
2017,4,2,Urban,1969,195803.9703359068,97.07683209514468,56,Mid-Range
1040,3,2,Rural,2014,98933.439065306,95.12830679356345,11,Budget
2051,5,1,Suburb,1953,185052.5631740863,90.22553055781877,72,Budget
1134,4,3,Urban,2003,160764.43940877952,141.767583252892,22,Budget
1200,5,3,Suburb,2014,156394.27348181067,130.32856123484223,11,Budget
2863,5,1,Suburb,2000,333464.1490294491,116.47368111402344,25,High-End
1779,5,1,Urban,1960,211994.3281859909,119.16488374704379,65,Mid-Range
1929,4,1,Rural,1976,252779.69087222763,131.04183041587746,49,Mid-Range
2056,2,1,Urban,1975,288750.4043072761,140.4428036513989,50,High-End
2071,4,3,Rural,1966,185482.06063162317,89.56159373810873,59,Budget
1502,2,3,Suburb,1991,119671.3689479028,79.67467972563435,34,Budget
1406,4,2,Suburb,1997,148891.4193350198,105.89716880157881,28,Budget
2597,2,1,Rural,1982,235810.22355681533,90.80101022595892,43,Mid-Range
2751,2,2,Suburb,2010,357765.11724448414,130.04911568320034,15,High-End
1804,4,3,Rural,1978,216771.35995628755,120.1615077363013,47,Mid-Range
1098,5,2,Rural,2012,102580.49836622812,93.4248619000256,13,Budget
1683,5,3,Urban,1986,208774.14233121456,124.04880708925405,39,Mid-Range
2895,2,3,Suburb,2005,302454.6401474587,104.47483252071112,20,High-End
1725,3,2,Urban,1965,208558.78172335384,120.90364157875585,60,Mid-Range
2570,3,2,Urban,2005,276434.5399454463,107.56207779978456,20,High-End
1960,4,1,Suburb,1991,220786.7119550845,112.64628160973699,34,Mid-Range
2762,4,3,Urban,1973,354268.47524739604,128.26519741035338,52,High-End
1612,4,1,Suburb,2018,142420.97226095255,88.35047907006982,7,Budget
2966,3,1,Suburb,1980,299146.59537507093,100.85859587831116,45,High-End
2485,5,3,Urban,1960,321647.4526525699,129.43559462880077,65,High-End
1642,4,2,Suburb,1951,216976.90806023663,132.14184412925496,74,Mid-Range
2792,4,1,Suburb,2020,243179.70337319985,87.09874762650425,5,Mid-Range
2028,5,1,Suburb,1984,184210.77355558556,90.8337147709988,41,Budget
2241,2,3,Suburb,2011,175779.56815188617,78.43800453006969,14,Budget
1502,4,2,Urban,2003,162271.08640489963,108.0366753694405,22,Budget
1766,3,2,Rural,2018,240727.03972085557,136.312027022002,7,Mid-Range
1397,3,1,Urban,2000,186900.94639311853,133.78736320194596,25,Budget
1870,4,3,Rural,1958,208692.1497994106,111.60008010663668,67,Mid-Range
1794,3,1,Rural,1963,114333.69387419586,63.73115600568331,62,Budget
1392,5,2,Rural,2005,225281.32417764855,161.84003173681648,20,Mid-Range
1206,2,1,Suburb,1983,110852.45257182162,91.91745652721526,42,Budget
2038,2,3,Rural,1950,206119.18171087175,101.13796943614905,75,Mid-Range
2881,4,1,Suburb,1987,292218.3734233528,101.4294944197684,38,High-End
2577,4,2,Suburb,1966,209166.2973385366,81.16658802426721,59,Mid-Range
1891,2,3,Suburb,1965,283220.10867648444,149.7726645565756,60,High-End
2484,2,3,Urban,1997,354538.82144245284,142.72899413947377,28,High-End
2714,4,3,Rural,1999,290954.49181524914,107.20504488402695,26,High-End
2598,3,3,Urban,2020,207377.55545532453,79.82199979034816,5,Mid-Range
1863,4,3,Suburb,1990,267934.0925699399,143.8186218840257,35,High-End
1742,5,1,Urban,1993,235034.89983819608,134.9224453720988,32,Mid-Range
2264,4,3,Suburb,1964,246611.88309182983,108.92751019957149,61,Mid-Range
1563,4,2,Urban,2010,314867.65157339314,201.45083274049466,15,High-End
2020,4,3,Suburb,1999,278092.75713699666,137.66968175098845,26,High-End
1095,4,2,Suburb,2001,88443.38397499491,80.77021367579444,24,Budget
2923,4,2,Urban,2001,235396.4544878884,80.53248528494301,24,Mid-Range
2757,4,2,Suburb,1985,280503.8129283642,101.74240584996888,40,High-End
1484,3,2,Rural,1982,273072.3372618648,184.01100893656658,43,High-End
2430,4,2,Urban,1994,252666.84831969367,103.97812688053237,31,Mid-Range
1230,2,1,Urban,1951,133914.40680878342,108.87350147055562,74,Budget
1748,4,2,Suburb,1950,142717.8302268369,81.64635596500968,75,Budget
2678,3,2,Urban,2019,266197.0443802551,99.4014355415441,6,High-End
2194,5,2,Rural,1996,245433.69445927496,111.86585891489287,29,Mid-Range
1540,2,1,Urban,2013,177796.40298151918,115.4522097282592,12,Budget
2059,4,3,Rural,1967,226582.27427106167,110.04481509036506,58,Mid-Range
1524,4,2,Urban,2003,170745.4653213651,112.03770690378288,22,Budget
2183,2,1,Rural,1984,194059.37069774355,88.89572638467409,41,Mid-Range
2862,4,1,Urban,2008,347187.40927735553,121.30936732262597,17,High-End
2722,3,1,Rural,1985,345978.9788809702,127.10469466604343,40,High-End
2266,4,3,Suburb,1975,323981.5079872238,142.9750697207519,50,High-End
2109,5,1,Urban,1994,185909.90163690777,88.15073572162531,31,Budget
2819,3,2,Urban,2018,231642.41525201904,82.17183939411814,7,Mid-Range
1577,4,2,Rural,1979,181472.0115124785,115.07419880309352,46,Budget
1681,5,2,Urban,1982,247683.3818141536,147.34288031775944,43,Mid-Range
1556,2,3,Rural,1972,174119.77971258396,111.90217205178918,53,Budget
2597,3,1,Suburb,1970,249931.38186463085,96.23849898522559,55,Mid-Range
2976,4,2,Rural,2012,352084.04725339817,118.30781157708272,13,High-End
2012,4,2,Urban,2019,356256.91027704417,177.06605878580723,6,High-End
1645,2,2,Suburb,2017,115738.60239613194,70.35781300676715,8,Budget
1795,2,3,Rural,1985,265399.2764300769,147.8547501003214,40,High-End
2051,3,2,Rural,1986,205543.4524987724,100.21621282241463,39,Mid-Range
2643,3,1,Suburb,1950,248155.87168453963,93.89174108382127,75,Mid-Range
2579,3,1,Urban,1975,318796.39679075696,123.61240666566769,50,High-End
2363,4,3,Urban,1991,254479.2559878204,107.69329495887447,34,Mid-Range
2821,4,3,Urban,1989,248782.21694158544,88.18937147876123,36,Mid-Range
2981,3,3,Suburb,2002,320922.1761831169,107.655879296584,23,High-End
2354,4,1,Rural,2011,265274.0039736152,112.69074085540151,14,High-End
2663,2,3,Suburb,1993,283301.9362070697,106.38450477171224,32,High-End
2529,5,3,Rural,1985,291195.67134809634,115.14261421435205,40,High-End
2371,4,1,Suburb,1953,240277.00975870187,101.33994506904338,72,Mid-Range
2496,3,2,Rural,1970,316708.5953854667,126.88645648456198,55,High-End
2254,4,3,Rural,1966,267724.6993464473,118.77759509602808,59,High-End
1189,2,2,Suburb,1965,52033.75929268488,43.76262345894439,60,Budget
2248,3,2,Suburb,1990,157260.98352993536,69.95595352755132,35,Budget
2408,5,2,Suburb,2004,349887.387165537,145.30207108203362,21,High-End
2400,3,2,Rural,2006,302581.5244158059,126.07563517325245,19,High-End
2306,3,3,Suburb,2015,267740.4346651604,116.10599942114503,10,High-End
2981,3,3,Rural,1987,296942.7544003423,99.61179282131576,38,High-End
1632,4,3,Rural,2005,211665.6221785599,129.69707241333327,20,Mid-Range
1627,5,1,Suburb,1986,240462.67775685625,147.79513076635294,39,Mid-Range
1972,2,1,Urban,1999,221900.77310879892,112.52574701257552,26,Mid-Range
2768,4,2,Urban,2004,337510.5084427254,121.9329871541638,21,High-End
2282,5,1,Rural,1950,351438.5468115283,154.00462174037173,75,High-End
2382,5,2,Rural,2014,207718.7411877128,87.20350175806583,11,Mid-Range
1709,4,2,Urban,2014,187379.39012426996,109.64270925937389,11,Budget
2479,3,3,Rural,1993,325104.8263530242,131.14353624567335,32,High-End
2434,5,3,Urban,1961,234064.51365009736,96.16454956865134,64,Mid-Range
1648,2,1,Rural,2002,168976.49535597963,102.53428116260899,23,Budget
1317,4,3,Rural,2010,72491.39025921248,55.042817205172724,15,Budget
2700,5,1,Suburb,1962,397825.33643637935,147.34271719865902,63,High-End
2248,2,3,Urban,1991,224680.0524200836,99.94664253562438,34,Mid-Range
2842,2,3,Rural,1995,297609.7185248232,104.71840905166192,30,High-End
2257,2,1,Urban,1991,211357.56307458412,93.64535359972713,34,Mid-Range
1683,2,2,Suburb,1965,191156.38414084716,113.58073923995673,60,Mid-Range
1663,4,1,Urban,1993,198444.2855472129,119.3290953380715,32,Mid-Range
2998,2,3,Rural,2019,227602.84522047613,75.91822722497535,6,Mid-Range
2850,4,2,Urban,1965,227374.5843014784,79.78055589525557,60,Mid-Range
2397,2,3,Suburb,1971,311492.246607957,129.95087467999875,54,High-End
2695,2,3,Urban,1984,341035.6518169741,126.54384111947091,41,High-End
2631,4,3,Urban,1998,329215.4127322002,125.12938530300272,27,High-End
2495,3,2,Urban,2020,189722.8949577994,76.04124046404786,5,Mid-Range
2256,5,3,Urban,2013,315304.2483174342,139.7625214173024,12,High-End
2715,5,1,Rural,1980,229019.4794959325,84.35339944601566,45,Mid-Range
2136,4,1,Urban,1950,218041.2170573715,102.07922146880689,75,Mid-Range
2853,2,1,Suburb,1974,256367.864328076,89.8590481346218,51,Mid-Range
2520,4,2,Urban,1969,427589.0870411169,169.67820914330036,56,High-End
1441,2,1,Suburb,1957,161116.81865195103,111.80903445659337,68,Budget
1563,4,3,Suburb,2013,182494.88596722667,116.75936402253785,12,Budget
2291,5,2,Suburb,1965,276165.905109651,120.54382588810606,60,High-End
2533,4,3,Suburb,2004,314516.6129790323,124.16763244336055,21,High-End
2830,5,3,Rural,1975,272012.265169515,96.11740818710777,50,High-End
2409,5,3,Urban,2014,342249.54232187086,142.0712089339439,11,High-End
2410,5,1,Urban,1977,258023.51102204097,107.06369751951908,48,Mid-Range
2136,4,1,Rural,1995,115459.88197304336,54.054251860039024,30,Budget
2636,3,2,Urban,2003,240419.9739043436,91.20636339315008,22,Mid-Range
2648,4,2,Rural,2003,388951.7892392383,146.8851167821897,22,High-End
1951,4,1,Suburb,2021,250119.2128528494,128.20051914548918,4,Mid-Range
2104,3,1,Urban,1998,210586.97653456448,100.08886717422267,27,Mid-Range
1698,3,3,Suburb,1995,234243.624414166,137.95266455486808,30,Mid-Range
1112,5,1,Urban,1950,69293.96649206044,62.31471806839968,75,Budget
1001,2,3,Urban,1993,163837.68243703258,163.67400842860397,32,Budget
1641,2,1,Urban,1953,252127.9862511156,153.64289229196564,72,Mid-Range
1219,5,3,Suburb,1980,117989.35682972187,96.7919252089597,45,Budget
2589,4,1,Rural,1964,313948.4453118486,121.26243542365724,61,High-End
1854,2,1,Suburb,1950,254919.27518581905,137.4969121822109,75,Mid-Range
2759,4,2,Rural,2021,197521.82717092487,71.59181847442004,4,Mid-Range
2248,3,2,Urban,1955,198494.040257516,88.29806061277402,70,Mid-Range
1384,3,3,Urban,1976,152204.7558913935,109.97453460360802,49,Budget
2426,5,2,Urban,1975,308529.3077393932,127.17613674336076,50,High-End
2661,4,2,Urban,2015,308854.90099919715,116.06723074002147,10,High-End
2153,5,1,Suburb,1962,246860.55002366885,114.65887135330648,63,Mid-Range
2076,2,3,Rural,2020,225867.2386279585,108.79924789400698,5,Mid-Range
2707,2,2,Rural,1983,249678.22890096117,92.23429216880723,42,Mid-Range
1729,2,2,Rural,1982,108636.47522678511,62.83196947760851,43,Budget
2695,4,1,Urban,1989,299818.56075223465,111.24992977819468,36,High-End
2733,5,1,Suburb,1992,290094.597001723,106.1451141608939,33,High-End
2439,5,1,Urban,1956,272077.872708492,111.55304334091512,69,High-End
1246,2,3,Rural,1988,130941.48294297824,105.08947266691672,37,Budget
1835,5,1,Suburb,2015,241849.2414576917,131.79795174806088,10,Mid-Range
2462,3,3,Suburb,1985,206273.30005677108,83.78281886952522,40,Mid-Range
1202,3,1,Urban,2013,155086.4598591631,129.02367708749009,12,Budget
2207,3,2,Suburb,1953,169742.87033019328,76.91113290901372,72,Budget
1122,3,3,Suburb,1971,148324.403196361,132.19643778641802,54,Budget
1400,5,1,Suburb,2020,184460.04344561708,131.7571738897265,5,Budget
1766,3,1,Urban,1953,138095.4799175649,78.19676099522361,72,Budget
1293,3,2,Urban,2013,205414.9104558009,158.86690677169443,12,Mid-Range
1279,3,2,Suburb,1971,183265.3989623526,143.28803671802393,54,Budget
2860,3,2,Urban,2011,284616.467279546,99.51624730054057,14,High-End
1883,3,1,Suburb,1989,181947.6428840441,96.62646993310892,36,Budget
2633,4,2,Rural,1969,284003.76941338705,107.86318625650857,56,High-End
1197,4,2,Rural,1958,90959.78932620135,75.98979893584072,67,Budget
1981,3,3,Suburb,2014,198755.14636608923,100.33071497531006,11,Mid-Range
2930,3,3,Rural,1972,370459.8290291032,126.43680171641748,53,High-End
2534,5,3,Rural,1984,348379.2664670972,137.48195203910703,41,High-End
1751,3,1,Rural,2008,270704.1541412828,154.59974536909354,17,High-End
1143,2,3,Suburb,1963,168931.8286047524,147.7968754197309,62,Budget
1608,4,1,Urban,1993,189126.05140688832,117.61570361124896,32,Mid-Range
2224,3,2,Suburb,1971,218168.70814067312,98.09744071073432,54,Mid-Range
2147,4,1,Suburb,1977,199220.1955072361,92.79003051105546,48,Mid-Range
1186,3,1,Urban,2008,129960.0168172268,109.57842901958415,17,Budget
2349,2,2,Suburb,1996,281507.7449630544,119.84152616562555,29,High-End
1463,3,3,Suburb,2017,169378.78481722157,115.77497253398604,8,Budget
2372,4,3,Suburb,2019,248599.1076612193,104.80569462951911,6,Mid-Range
2794,4,3,Rural,1966,411678.0284271322,147.34360358880895,59,High-End
1659,4,2,Suburb,1980,119032.8829834174,71.74977877240349,45,Budget
1763,5,1,Suburb,1963,230075.0498156624,130.50201350860036,62,Mid-Range
1954,4,2,Urban,1998,122604.95616584706,62.74562751578662,27,Budget
2955,3,2,Rural,2016,296998.838109315,100.50722101838072,9,High-End
1402,2,2,Rural,1970,109470.14273140584,78.0814142164093,55,Budget
2369,2,2,Suburb,1962,246212.1973150715,103.93085576828683,63,Mid-Range
2986,3,1,Rural,1999,310583.0758590737,104.01308635601933,26,High-End
2534,5,3,Rural,2017,233756.8863821809,92.24817931419925,8,Mid-Range
1146,3,3,Urban,1961,100102.22524595106,87.34923668931157,64,Budget
2171,4,2,Urban,1997,199324.84069986545,91.81245541219045,28,Mid-Range
1863,5,1,Rural,2013,331026.59636098804,177.6847001400902,12,High-End
2734,3,2,Urban,1964,231041.34837459872,84.50671118310122,61,Mid-Range
2843,5,1,Suburb,1965,333530.0633743215,117.31623755691928,60,High-End
1488,2,2,Urban,2021,61092.661234490224,41.05689599092085,4,Budget
1928,3,3,Suburb,1999,205778.3124412656,106.73148985542821,26,Mid-Range
2959,3,3,Urban,1990,384570.7364514372,129.96645368416262,35,High-End
2663,2,2,Rural,1953,339772.9527372086,127.5902939306078,72,High-End
1550,5,3,Suburb,1969,186745.12964093967,120.48072880060624,56,Budget
1337,2,2,Urban,1957,185559.0801900139,138.78764412117718,68,Budget
1871,5,1,Urban,2017,213894.31463154923,114.3208522883748,8,Mid-Range
1640,3,1,Suburb,1996,180978.0156828019,110.35244858707432,29,Budget
2802,5,1,Urban,1982,243011.57473076603,86.7278996184033,43,Mid-Range
2976,5,1,Rural,1954,265075.948204332,89.07121915468144,71,High-End
1472,4,2,Suburb,2017,163315.12699992972,110.94777649451747,8,Budget
2969,4,3,Rural,1990,384847.049904619,129.62177497629472,35,High-End
1150,4,1,Suburb,2010,190479.19894101736,165.63408603566725,15,Mid-Range
2438,2,3,Suburb,1973,204129.2143255608,83.72814369383134,52,Mid-Range
2321,2,2,Suburb,1976,249930.1176296619,107.68208428679961,49,Mid-Range
2634,4,3,Suburb,1978,372750.474809396,141.5149866398618,47,High-End
1262,3,3,Rural,2016,189650.20106156013,150.27749687920772,9,Mid-Range
2787,3,3,Rural,1986,308299.31208062085,110.62049231453923,39,High-End
1143,3,2,Suburb,2002,95784.07401708022,83.80058969123378,23,Budget
1345,2,2,Suburb,1951,165456.11841318812,123.01570142244469,74,Budget
1623,5,2,Rural,1986,236531.66553606672,145.73731702776755,39,Mid-Range
2016,2,3,Suburb,2021,212190.754931357,105.25335066039533,4,Mid-Range
2595,4,1,Suburb,2014,298280.3606844734,114.94426230615547,11,High-End
1880,5,1,Rural,1997,172765.2509259063,91.89641006697143,28,Budget
1001,3,3,Rural,1998,151917.35363762768,151.7655880495781,27,Budget
1896,2,1,Rural,1996,196497.06930440952,103.63769478080671,29,Mid-Range
